ml_id,ml_year,ml_title,id,title,year
144420,2009,Headhunter,75796,Headhunter,2009
1021,1994,Angels in the Outfield,75815,Angels in the Outfield,1994
4589,1983,Eddie and the Cruisers,75822,Eddie and the Cruisers,1983
72489,2009,Ninja Assassin,75828,Ninja Assassin,2009
2325,1997,Orgazmo,75867,Orgazmo,1997
3114,1999,Toy Story 2,75881,Toy Story 2,1999
2145,1986,Pretty in Pink,75918,Pretty in Pink,1986
57951,2008,Fool's Gold,75984,Fool's Gold,2008
1997,1973,The Exorcist,76012,The Exorcist,1973
174967,2001,The War Bride,76019,The War Bride,2001
92509,2012,The Vow,76042,The Vow,2012
78574,2010,Winter's Bone,76067,Winter's Bone,2010
95193,1998,Pocahontas II: Journey to a New World,76111,Pocahontas II: Journey to a New World,1998
7340,1985,Just One of the Guys,76113,Just One of the Guys,1985
6002,2002,Love Liza,76137,Love Liza,2002
139855,2015,Anomalisa,76143,Anomalisa,2015
121618,1926,The Great Gatsby,76145,The Great Gatsby,1926
30707,2004,Million Dollar Baby,76160,Million Dollar Baby,2004
122884,2015,Insidious: Chapter 3,76170,Insidious: Chapter 3,2015
151315,2016,Ride Along 2,76177,Ride Along 2,2016
44397,2006,The Hills Have Eyes,76187,The Hills Have Eyes,2006
2195,1998,Dirty Work,76195,Dirty Work,1998
3506,1979,North Dallas Forty,76198,North Dallas Forty,1979
53956,2007,Death at a Funeral,76279,Death at a Funeral,2007
8334,1972,The Cowboys,76284,The Cowboys,1972
158842,2016,My Scientology Movie,76325,My Scientology Movie,2015
120637,2015,Blackhat,76336,Blackhat,2015
81512,2010,Hereafter,76339,Hereafter,2010
2059,1998,The Parent Trap,76356,The Parent Trap,1998
3155,1999,Anna and the King,76365,Anna and the King,1999
170753,1972,Beware! The Blob,76391,Beware! The Blob,1972
95167,2012,Brave,76483,Brave,2012
74448,2001,The Royal Scandal,76488,The Royal Scandal,-1
76079,2009,Chloe,76508,Chloe,2009
148923,2009,Mississippi Damned,76512,Mississippi Damned,2009
57368,2008,Cloverfield,76519,Cloverfield,2008
171765,2017,Okja,76524,Okja,-1
78041,2010,Killers,76530,Killers,2010
1016,1959,The Shaggy Dog,76620,The Shaggy Dog,1959
114182,2014,No Good Deed,76627,No Good Deed,2014
4200,1991,Double Impact,76636,Double Impact,1991
175783,2017,First Kill,76639,First Kill,2017
7175,2004,Torque,76658,Torque,2004
60040,2008,The Incredible Hulk,76706,The Incredible Hulk,2008
4031,2000,All the Pretty Horses,76746,All the Pretty Horses,2000
596,1940,Pinocchio,76757,Pinocchio,1940
115534,2014,Ouija,76772,Ouija,2015
3263,1992,White Men Can't Jump,76781,White Men Can't Jump,1992
89470,2011,Contagion,76802,Contagion,2011
138526,2007,Death of a Ghost Hunter,76825,Death of a Ghost Hunter,2007
5296,2002,The Sweetest Thing,76829,The Sweetest Thing,2002
6464,1997,Good Burger,76845,Good Burger,-1
109864,2014,Veronica Mars,76849,Veronica Mars,2014
127096,2015,Project Almanac,76861,Project Almanac,2015
106471,2009,One Piece Film: Strong World,76887,One Piece Film: Strong World,2009
57522,2008,First Sunday,76935,First Sunday,2008
40815,2005,Harry Potter and the Goblet of Fire,76940,Harry Potter and the Goblet of Fire,2005
7275,1974,Uptown Saturday Night,77043,Uptown Saturday Night,1974
6323,2003,Identity,77066,Identity,2003
99112,2012,Jack Reacher,77115,Jack Reacher,2012
99217,2012,Not Fade Away,77136,Not Fade Away,2012
4005,1987,The Living Daylights,77140,The Living Daylights,1987
72731,2009,The Lovely Bones,77141,The Lovely Bones,2009
91474,2011,Flypaper,77154,Flypaper,2011
7878,1987,Straight to Hell,77176,Straight to Hell,1987
1918,1998,Lethal Weapon 4,77190,Lethal Weapon 4,1998
55768,2007,Bee Movie,77195,Bee Movie,2007
6794,1993,Beethoven's 2nd,77216,Beethoven's 2nd,1993
145070,2015,They Look Like People,77253,They Look Like People,2015
34231,2004,Fighter in the Wind,77267,Fighter in the Wind,2004
1235,1971,Harold and Maude,77352,Harold and Maude,1971
421,1994,Black Beauty,77358,Black Beauty,1994
3243,1992,Encino Man,77363,Encino Man,1992
1222,1987,Full Metal Jacket,77376,Full Metal Jacket,1987
7383,2003,Shade,77388,Shade,2003
8661,1962,How the West Was Won,77415,How the West Was Won,1962
923,1941,Citizen Kane,77455,Citizen Kane,1941
33832,2004,Yes,77478,Yes,2004
74228,2009,Triangle,77521,Triangle,2009
1584,1997,Contact,77542,Contact,1997
7173,2004,Along Came Polly,77597,Along Came Polly,-1
68135,2009,17 Again,77609,17 Again,2009
144522,2003,Sky High,77610,Sky High,2003
95207,2012,Abraham Lincoln: Vampire Hunter,77627,Abraham Lincoln: Vampire Hunter,2012
7117,1993,Leprechaun,77628,Leprechaun,1993
7164,2003,Peter Pan,77651,Peter Pan,2003
103341,2013,The World's End,77666,The World's End,2013
102445,2013,Star Trek Into Darkness,77670,Star Trek Into Darkness,2013
1291,1989,Indiana Jones and the Last Crusade,77684,Indiana Jones and the Last Crusade,1989
40723,2005,Wolf Creek,77693,Wolf Creek,2005
103339,2013,White House Down,77697,White House Down,2013
126591,1979,The Humanoid,77737,The Humanoid,1979
223,1994,Clerks,77788,Clerks,1994
1987,1980,Prom Night,77793,Prom Night,1980
7150,2003,Stuck on You,77806,Stuck on You,2003
67138,2006,Live Free or Die,77818,Live Free or Die,2006
30822,2004,In Good Company,77866,In Good Company,2004
4901,2001,Spy Game,77898,Spy Game,2001
140505,1991,Fatal Bond,77905,Fatal Bond,1992
57536,2008,Strange Wilderness,77910,Strange Wilderness,2008
141668,2015,War Room,77918,War Room,2015
1274,1988,Akira,77945,Akira,1988
136018,2015,Black Mass,77983,Black Mass,2015
108282,1990,The First Power,77986,The First Power,1990
3430,1974,Death Wish,78010,Death Wish,1974
3091,1980,Kagemusha,78019,Kagemusha,1980
112946,2014,Wish I Was Here,78058,Wish I Was Here,2014
176267,1991,Robin Hood,78062,Robin Hood,1991
235,1994,Ed Wood,78076,Ed Wood,1994
138798,2015,Joe Dirt 2: Beautiful Loser,78132,Joe Dirt 2: Beautiful Loser,2015
109893,2008,Chiko,78154,Chiko,2008
1073,1971,Willy Wonka and the Chocolate Factory,78168,Willy Wonka and the Chocolate Factory,1971
8529,2004,The Terminal,78172,The Terminal,2004
3785,2000,Scary Movie,78186,Scary Movie,2000
99721,2013,Texas Chainsaw 3D,78201,Texas Chainsaw 3D,2013
58162,2007,Run Fatboy Run,78207,Run Fatboy Run,2007
42002,2005,The Producers,78233,The Producers,2005
74754,2003,The Room,78267,The Room,2003
3967,2000,Billy Elliot,78326,Billy Elliot,2000
122904,2016,Deadpool,78340,Deadpool,2016
1049,1996,The Ghost and the Darkness,78343,The Ghost and the Darkness,1996
3715,1987,Burglar,78352,Burglar,1987
2009,1973,Soylent Green,78354,Soylent Green,1973
122455,2009,Holy Water,78361,Holy Water,2009
89745,2012,The Avengers,78418,The Avengers,2012
7321,2004,Twisted,78426,Twisted,2004
3593,2000,Battlefield Earth,78436,Battlefield Earth,2000
4143,2001,Valentine,78445,Valentine,2001
33162,2005,Kingdom of Heaven,78475,Kingdom of Heaven,2005
280,1995,Murder in the First,78479,Murder in the First,1995
3147,1999,The Green Mile,78480,The Green Mile,1999
7016,1987,Over the Top,78491,Over the Top,1987
2641,1980,Superman II,78504,Superman II,1980
76060,2009,The Slammin' Salmon,78510,The Slammin' Salmon,2009
1125,1975,The Return of the Pink Panther,78531,The Return of the Pink Panther,1975
497,1993,Much Ado About Nothing,78559,Much Ado About Nothing,1993
101577,2013,The Host,78634,The Host,2013
135530,2016,Criminal,78639,Criminal,2016
8912,2004,Taxi,78644,Taxi,2004
102066,2012,Resolution,78665,Resolution,2012
4553,1988,They Live,78670,They Live,1988
51903,2007,I Think I Love My Wife,78673,I Think I Love My Wife,2007
5693,1977,Saturday Night Fever,78719,Saturday Night Fever,1977
594,1937,Snow White and the Seven Dwarfs,78766,Snow White and the Seven Dwarfs,1937
125912,2013,Not Another Happy Ending,78779,Not Another Happy Ending,2013
26425,1979,The In-Laws,78799,The In-Laws,1979
74580,2010,The Spy Next Door,78801,The Spy Next Door,2010
44399,2006,The Shaggy Dog,78804,The Shaggy Dog,2006
8835,2004,Paparazzi,78807,Paparazzi,2004
49110,1992,Mom and Dad Save the World,78869,Mom and Dad Save the World,1992
45672,2006,Click,78874,Click,2006
72129,2009,Saw VI,78887,Saw VI,2009
786,1996,Eraser,78888,Eraser,1996
828,1996,The Adventures of Pinocchio,78929,The Adventures of Pinocchio,1996
123401,1938,Man-Proof,78943,Man-Proof,1938
58029,2007,It's a Free World...,78950,It's a Free World...,2007
50806,2007,Norbit,78958,Norbit,2007
2719,1999,The Haunting,78977,The Haunting,1999
4443,1981,Outland,79001,Outland,1981
1214,1979,Alien,79062,Alien,1979
1228,1980,Raging Bull,79106,Raging Bull,1980
27372,2001,Uprising,79114,Uprising,2001
590,1990,Dances with Wolves,79136,Dances with Wolves,1990
101112,2013,Oz the Great and Powerful,79153,Oz the Great and Powerful,2013
948,1956,Giant,79187,Giant,1956
40973,1978,The Wild Geese,79205,The Wild Geese,1978
6063,2002,May,79206,May,2002
135885,2015,Absolutely Anything,79266,Absolutely Anything,2015
1947,1961,West Side Story,79278,West Side Story,1961
170501,2017,Bitter Harvest,79284,Bitter Harvest,2016
1013,1961,The Parent Trap,79289,The Parent Trap,1961
48414,2006,Open Season,79313,Open Season,2006
2506,1999,The Other Sister,79341,The Other Sister,1999
102993,2013,"The Way, Way Back",79370,"The Way, Way Back",2013
40339,2005,Chicken Little,79379,Chicken Little,2005
968,1968,Night of the Living Dead,79385,Night of the Living Dead,1968
3801,1959,Anatomy of a Murder,79401,Anatomy of a Murder,1959
162578,2016,Kubo and the Two Strings,79408,Kubo and the Two Strings,2016
130237,1987,Wild Thing,79439,Wild Thing,1987
86898,2011,The Tree of Life,79464,The Tree of Life,2011
7102,1987,Dragnet,79468,Dragnet,1987
46948,2006,Monster House,79512,Monster House,2006
1592,1997,Air Bud,79543,Air Bud,1997
68952,2009,Drag Me to Hell,79665,Drag Me to Hell,2009
6991,1984,"Greystoke: The Legend of Tarzan, Lord of the Apes",79689,"Greystoke: The Legend of Tarzan, Lord of the Apes",1984
69481,2008,The Hurt Locker,79698,The Hurt Locker,2008
30883,2004,Fat Albert,79707,Fat Albert,2004
7007,1991,The Last Boy Scout,79743,The Last Boy Scout,1991
1503,1997,8 Heads in a Duffel Bag,79752,8 Heads in a Duffel Bag,1997
4450,2001,Bully,79755,Bully,2001
64614,2008,Gran Torino,79779,Gran Torino,2008
609,1996,Homeward Bound II: Lost in San Francisco,79811,Homeward Bound II: Lost in San Francisco,1996
3400,1993,We're Back! A Dinosaur's Story,79815,We're Back! A Dinosaur's Story,1993
34532,2005,The Skeleton Key,79834,The Skeleton Key,2005
156708,1988,The Mask,79851,The Mask,1988
5171,2002,The Time Machine,79856,The Time Machine,2002
90471,2011,Puncture,79888,Puncture,2011
89085,2011,The Debt,79894,The Debt,2010
125916,2015,Fifty Shades of Grey,79935,Fifty Shades of Grey,2015
8139,1974,Deranged,79945,Deranged,1974
166534,2017,Split,79968,Split,2017
94130,2011,Bully,79978,Bully,2011
111961,1994,Cinderella,79989,Cinderella,1994
110553,2014,The Amazing Spider-Man 2,80009,The Amazing Spider-Man 2,2014
368,1994,Maverick,80014,Maverick,1994
145731,2011,War of the Buttons,80024,War of the Buttons,2011
1,1995,Toy Story,80067,Toy Story,1995
1895,1998,Can't Hardly Wait,80108,Can't Hardly Wait,-1
106254,2010,Boy Wonder,80178,Boy Wonder,2010
112460,2014,Planes: Fire and Rescue,80188,Planes: Fire and Rescue,2014
6249,2003,Boat Trip,80203,Boat Trip,2002
45720,2006,The Devil Wears Prada,80208,The Devil Wears Prada,2006
71205,2009,Jennifer's Body,80235,Jennifer's Body,2009
4039,1982,Annie,80240,Annie,1982
26999,1998,The Lion King II: Simba's Pride,80284,The Lion King II: Simba's Pride,1998
120132,2014,Annie,80336,Annie,2014
155625,2016,Under the Shadow,80429,Under the Shadow,2016
5874,2002,Friday After Next,80448,Friday After Next,2002
67867,2009,Dragonball Evolution,80576,Dragonball Evolution,2009
158783,2016,The Handmaiden,80587,The Handmaiden,2016
98842,2009,All's Faire in Love,80598,All's Faire in Love,2009
161496,1995,Moses,80649,Moses,1995
3247,1992,Sister Act,80685,Sister Act,1992
158840,2016,Wild,80691,Wild,2016
1499,1997,Anaconda,80699,Anaconda,1997
4629,1989,Next of Kin,80716,Next of Kin,1989
3298,2000,Boiler Room,80769,Boiler Room,2000
142352,1968,Vengeance,80811,Vengeance,1968
3448,1987,"Good Morning, Vietnam",80886,"Good Morning, Vietnam",1987
36509,2005,The Cave,80918,The Cave,2005
1404,1996,Night Falls on Manhattan,80966,Night Falls on Manhattan,1997
168408,2016,Boo! A Madea Halloween,80985,Boo! A Madea Halloween,2016
104211,2013,We're the Millers,81075,We're the Millers,2013
27482,2002,Cube 2: Hypercube,81078,Cube 2: Hypercube,2002
112175,2014,How to Train Your Dragon 2,81080,How to Train Your Dragon 2,2014
157881,2016,Holidays,81087,Holidays,2016
170945,2017,It Comes at Night,81135,It Comes at Night,2017
69,1995,Friday,81162,Friday,1995
3393,1987,Date with an Angel,81165,Date with an Angel,1987
158799,1970,The Pacifist,81196,The Pacifist,1970
61934,1974,Freebie and the Bean,81209,Freebie and the Bean,1974
59126,2008,Religulous,81232,Religulous,2008
2287,1954,Them!,81265,Them!,1954
100083,2013,Movie 43,81296,Movie 43,2013
4516,1988,Johnny Be Good,81316,Johnny Be Good,1988
89217,2010,Waiting for Forever,81317,Waiting for Forever,2010
608,1996,Fargo,81385,Fargo,1996
2745,1986,The Mission,81415,The Mission,1986
4061,1991,The Man in the Moon,81416,The Man in the Moon,1991
129374,1976,Annie,81468,Annie,1976
141916,2015,The Rise of the Krays,81469,The Rise of the Krays,2015
4727,2001,Captain Corelli's Mandolin,81474,Captain Corelli's Mandolin,2001
74228,2009,Triangle,81475,Triangle,2009
